,cuisine
455,italian
456,southern_us
457,british
458,indian
459,chinese
460,indian
461,mexican
462,chinese
463,thai
464,british
465,korean
466,french
467,chinese
468,mexican
469,chinese
470,brazilian
471,cajun_creole
472,mexican
473,french
474,moroccan
475,japanese
476,italian
477,indian
478,french
479,greek
480,southern_us
481,southern_us
482,thai
483,italian
484,mexican
485,vietnamese
486,british
487,japanese
488,italian
489,indian
490,chinese
491,indian
492,indian
493,thai
494,mexican
495,spanish
496,filipino
497,japanese
498,moroccan
499,southern_us
500,japanese
501,cajun_creole
502,mexican
503,italian
504,mexican
505,italian
506,italian
507,southern_us
508,italian
509,french
510,cajun_creole
511,spanish
512,southern_us
513,chinese
514,mexican
515,southern_us
516,vietnamese
517,jamaican
518,chinese
519,italian
520,indian
521,italian
522,mexican
523,italian
524,mexican
525,cajun_creole
526,mexican
527,chinese
528,italian
529,italian
530,thai
531,indian
532,korean
533,mexican
534,french
535,mexican
536,mexican
537,chinese
538,chinese
539,mexican
540,british
541,mexican
542,moroccan
543,korean
544,italian
545,italian
546,mexican
547,italian
548,indian
549,jamaican
550,italian
551,indian
552,jamaican
553,spanish
554,french
555,southern_us
556,indian
557,cajun_creole
558,japanese
559,mexican
560,italian
561,cajun_creole
562,japanese
563,mexican
564,italian
565,mexican
566,mexican
567,japanese
568,french
569,french
570,thai
571,indian
572,indian
573,mexican
574,chinese
575,southern_us
576,thai
577,chinese
578,southern_us
579,southern_us
580,mexican
581,indian
582,indian
583,southern_us
584,vietnamese
585,mexican
586,french
587,indian
588,spanish
589,british
590,spanish
591,cajun_creole
592,korean
593,french
594,indian
595,italian
596,italian
597,spanish
598,mexican
599,southern_us
600,british
601,cajun_creole
602,vietnamese
603,jamaican
604,cajun_creole
605,mexican
606,indian
607,chinese
608,vietnamese
609,italian
610,french
611,indian
612,mexican
613,irish
614,mexican
615,italian
616,indian
617,mexican
618,spanish
619,spanish
620,mexican
621,italian
622,french
623,indian
624,british
625,vietnamese
626,filipino
627,japanese
628,italian
629,thai
630,mexican
631,italian
632,chinese
633,italian
634,chinese
635,mexican
636,italian
637,jamaican
638,jamaican
639,french
640,cajun_creole
641,french
642,southern_us
643,chinese
644,indian
645,italian
646,italian
647,southern_us
648,italian
649,southern_us
650,italian
651,italian
652,mexican
653,french
654,italian
655,italian
656,italian
657,mexican
658,southern_us
659,japanese
660,japanese
661,filipino
662,southern_us
663,italian
664,british
665,chinese
666,mexican
667,french
668,italian
669,greek
670,indian
671,southern_us
672,korean
673,italian
674,spanish
675,southern_us
676,chinese
677,spanish
678,italian
679,vietnamese
680,korean
681,korean
682,jamaican
683,indian
684,brazilian
685,chinese
686,indian
687,indian
688,mexican
689,italian
690,italian
691,italian
692,italian
693,mexican
694,cajun_creole
695,indian
696,mexican
697,italian
698,italian
699,southern_us
700,italian
701,russian
702,japanese
703,indian
704,chinese
705,thai
706,southern_us
707,mexican
708,greek
709,italian
710,japanese
711,japanese
712,indian
713,mexican
714,chinese
715,vietnamese
716,southern_us
717,italian
718,italian
719,greek
720,french
721,southern_us
722,french
723,mexican
724,french
725,irish
726,british
727,japanese
728,thai
729,moroccan
730,italian
731,mexican
732,italian
733,greek
734,russian
735,chinese
736,filipino
737,southern_us
738,indian
739,chinese
740,italian
741,italian
742,indian
743,southern_us
744,italian
745,filipino
746,french
747,filipino
748,cajun_creole
749,filipino
750,mexican
751,mexican
752,southern_us
753,italian
754,greek
755,russian
756,thai
757,brazilian
758,italian
759,cajun_creole
760,indian
761,indian
762,french
763,vietnamese
764,filipino
765,japanese
766,indian
767,southern_us
768,southern_us
769,vietnamese
770,french
771,chinese
772,italian
773,spanish
774,mexican
775,greek
776,moroccan
777,moroccan
778,southern_us
779,mexican
780,mexican
781,russian
782,french
783,vietnamese
784,thai
785,italian
786,japanese
787,thai
788,japanese
789,mexican
790,cajun_creole
791,italian
792,southern_us
793,cajun_creole
794,mexican
795,italian
796,italian
797,thai
798,french
799,mexican
800,filipino
801,chinese
802,italian
803,mexican
804,greek
805,korean
806,spanish
807,indian
808,italian
809,mexican
810,italian
811,japanese
812,mexican
813,mexican
814,french
815,italian
816,italian
817,mexican
818,mexican
819,southern_us
820,mexican
821,british
822,vietnamese
823,japanese
824,italian
825,moroccan
826,italian
827,southern_us
828,chinese
829,indian
830,southern_us
831,chinese
832,chinese
833,cajun_creole
834,thai
835,mexican
836,mexican
837,italian
838,jamaican
839,chinese
840,korean
841,british
842,italian
843,moroccan
844,thai
845,spanish
846,mexican
847,chinese
848,mexican
849,chinese
850,british
851,french
852,french
853,brazilian
854,mexican
855,spanish
856,thai
857,indian
858,italian
859,irish
860,southern_us
861,italian
862,southern_us
863,mexican
864,indian
865,french
866,italian
867,mexican
868,southern_us
869,italian
870,french
871,thai
872,indian
873,greek
874,jamaican
875,italian
876,southern_us
877,japanese
878,chinese
879,vietnamese
880,mexican
881,jamaican
882,italian
883,thai
884,italian
885,moroccan
886,mexican
887,filipino
888,indian
889,indian
890,italian
891,mexican
892,greek
893,french
894,italian
895,cajun_creole
896,chinese
897,southern_us
898,chinese
899,indian
900,italian
901,thai
902,french
903,italian
904,russian
905,italian
906,italian
907,italian
908,korean
909,russian
910,indian
911,jamaican
912,mexican
913,brazilian
914,italian
915,italian
916,japanese
917,italian
918,mexican
919,southern_us
920,korean
921,italian
922,chinese
923,moroccan
924,mexican
925,french
926,indian
927,southern_us
928,japanese
929,southern_us
930,chinese
931,indian
932,southern_us
933,southern_us
934,moroccan
935,indian
936,mexican
937,irish
938,italian
939,british
940,mexican
941,korean
942,japanese
943,greek
944,greek
945,cajun_creole
946,jamaican
947,french
948,mexican
949,italian
950,southern_us
951,italian
952,italian
953,thai
954,moroccan
955,thai
956,mexican
957,french
958,french
959,chinese
960,italian
961,spanish
962,italian
963,southern_us
964,irish
965,japanese
966,southern_us
967,mexican
968,italian
969,french
970,mexican
971,southern_us
972,japanese
973,mexican
974,indian
975,italian
976,italian
977,southern_us
978,chinese
979,vietnamese
980,chinese
981,vietnamese
982,filipino
983,vietnamese
984,mexican
985,moroccan
986,chinese
987,mexican
988,indian
989,southern_us
990,mexican
991,spanish
992,chinese
993,italian
994,irish
995,indian
996,mexican
997,indian
998,mexican
999,moroccan
1000,chinese
1001,indian
1002,irish
1003,southern_us
1004,italian
1005,mexican
1006,mexican
1007,indian
1008,moroccan
1009,indian
1010,chinese
1011,filipino
1012,filipino
1013,jamaican
1014,vietnamese
1015,irish
1016,indian
1017,southern_us
1018,moroccan
1019,vietnamese
1020,british
1021,french
1022,indian
1023,mexican
1024,italian
1025,french
1026,indian
1027,mexican
1028,japanese
1029,mexican
1030,greek
1031,southern_us
1032,mexican
1033,vietnamese
1034,thai
1035,italian
1036,southern_us
1037,italian
1038,chinese
1039,italian
1040,southern_us
1041,italian
1042,mexican
1043,thai
1044,korean
1045,mexican
1046,italian
1047,italian
1048,vietnamese
1049,jamaican
1050,italian
1051,mexican
1052,chinese
1053,chinese
1054,cajun_creole
1055,korean
1056,italian
1057,indian
1058,indian
1059,chinese
1060,japanese
1061,italian
1062,mexican
1063,southern_us
1064,french
1065,chinese
1066,moroccan
1067,italian
1068,chinese
1069,indian
1070,french
1071,southern_us
1072,moroccan
1073,cajun_creole
1074,italian
1075,spanish
1076,chinese
1077,southern_us
1078,moroccan
1079,indian
1080,chinese
1081,mexican
1082,french
1083,southern_us
1084,chinese
1085,indian
1086,mexican
1087,italian
1088,italian
1089,chinese
1090,korean
1091,chinese
1092,mexican
1093,thai
1094,indian
1095,cajun_creole
1096,french
1097,korean
1098,moroccan
1099,vietnamese
1100,italian
1101,moroccan
1102,italian
1103,cajun_creole
1104,greek
1105,cajun_creole
1106,french
1107,mexican
1108,indian
1109,mexican
1110,mexican
1111,southern_us
1112,italian
1113,southern_us
1114,japanese
1115,japanese
1116,italian
1117,southern_us
1118,mexican
1119,japanese
1120,italian
1121,italian
1122,italian
1123,mexican
1124,moroccan
1125,italian
1126,irish
1127,jamaican
1128,indian
1129,italian
1130,indian
1131,thai
1132,spanish
1133,cajun_creole
1134,cajun_creole
1135,irish
1136,mexican
1137,french
1138,mexican
1139,italian
1140,indian
1141,indian
1142,british
1143,filipino
1144,italian
1145,southern_us
1146,mexican
1147,japanese
1148,southern_us
1149,mexican
1150,korean
1151,southern_us
1152,chinese
1153,japanese
1154,southern_us
1155,indian
1156,chinese
1157,mexican
1158,mexican
1159,moroccan
1160,thai
1161,indian
1162,mexican
1163,chinese
1164,italian
1165,filipino
1166,spanish
1167,thai
1168,korean
1169,jamaican
1170,chinese
1171,italian
1172,british
1173,thai
1174,mexican
1175,italian
1176,mexican
1177,italian
1178,french
1179,southern_us
1180,italian
1181,cajun_creole
1182,southern_us
1183,thai
1184,italian
1185,italian
1186,british
1187,chinese
1188,italian
1189,moroccan
1190,greek
1191,indian
1192,southern_us
1193,mexican
1194,japanese
1195,french
1196,southern_us
1197,southern_us
1198,italian
1199,italian
1200,indian
1201,indian
1202,mexican
1203,irish
1204,indian
1205,italian
1206,chinese
1207,thai
1208,mexican
1209,vietnamese
1210,mexican
1211,japanese
1212,irish
1213,mexican
1214,chinese
1215,indian
1216,greek
1217,mexican
1218,brazilian
1219,spanish
1220,korean
1221,italian
1222,vietnamese
1223,french
1224,mexican
1225,indian
1226,thai
1227,italian
1228,mexican
1229,french
1230,southern_us
1231,southern_us
1232,italian
1233,thai
1234,southern_us
1235,mexican
1236,chinese
1237,cajun_creole
1238,vietnamese
1239,southern_us
1240,italian
1241,chinese
1242,italian
1243,indian
1244,southern_us
1245,southern_us
1246,italian
1247,indian
1248,italian
1249,french
1250,mexican
1251,indian
1252,brazilian
1253,italian
1254,indian
1255,spanish
1256,mexican
1257,mexican
1258,chinese
1259,mexican
1260,mexican
1261,mexican
1262,greek
1263,italian
1264,french
1265,italian
1266,italian
1267,italian
1268,british
1269,indian
1270,irish
1271,mexican
1272,indian
1273,southern_us
1274,cajun_creole
1275,chinese
1276,cajun_creole
1277,jamaican
1278,southern_us
1279,thai
1280,spanish
1281,russian
1282,chinese
1283,italian
1284,british
1285,french
1286,italian
1287,cajun_creole
1288,moroccan
1289,mexican
1290,british
1291,irish
1292,italian
1293,southern_us
1294,italian
1295,spanish
1296,mexican
1297,moroccan
1298,chinese
1299,italian
1300,thai
1301,greek
1302,thai
1303,mexican
1304,mexican
1305,spanish
1306,vietnamese
1307,thai
1308,indian
1309,mexican
1310,french
1311,jamaican
1312,italian
1313,cajun_creole
1314,indian
1315,chinese
1316,korean
1317,mexican
1318,mexican
1319,vietnamese
1320,italian
1321,spanish
1322,british
1323,irish
1324,mexican
1325,indian
1326,italian
1327,filipino
1328,moroccan
1329,japanese
1330,spanish
1331,italian
1332,italian
1333,french
1334,mexican
1335,italian
1336,korean
1337,southern_us
1338,mexican
1339,mexican
1340,greek
1341,indian
1342,mexican
1343,chinese
1344,mexican
1345,mexican
1346,mexican
1347,chinese
1348,jamaican
1349,mexican
1350,italian
1351,mexican
1352,indian
1353,greek
1354,mexican
1355,vietnamese
1356,japanese
1357,southern_us
1358,italian
1359,southern_us
1360,italian
1361,italian
1362,italian
1363,chinese
1364,southern_us
1365,mexican
1366,french
1367,italian
1368,italian
1369,vietnamese
1370,indian
1371,french
1372,british
1373,french
1374,southern_us
1375,french
1376,brazilian
1377,jamaican
1378,british
1379,greek
1380,vietnamese
1381,spanish
1382,thai
1383,italian
1384,thai
1385,italian
1386,japanese
1387,thai
1388,italian
1389,southern_us
1390,mexican
1391,italian
1392,mexican
1393,russian
1394,jamaican
1395,korean
1396,indian
1397,indian
1398,mexican
1399,indian
1400,moroccan
1401,japanese
1402,chinese
1403,italian
1404,southern_us
1405,southern_us
1406,cajun_creole
1407,korean
1408,french
1409,southern_us
1410,cajun_creole
1411,thai
1412,indian
1413,korean
1414,chinese
1415,indian
1416,chinese
1417,italian
1418,japanese
1419,italian
1420,british
1421,indian
1422,southern_us
1423,southern_us
1424,italian
1425,mexican
1426,french
1427,mexican
1428,french
1429,spanish
1430,mexican
1431,italian
1432,brazilian
1433,italian
1434,italian
1435,mexican
1436,indian
1437,cajun_creole
1438,french
1439,british
1440,cajun_creole
1441,moroccan
1442,korean
1443,japanese
1444,russian
1445,mexican
1446,thai
1447,mexican
1448,thai
1449,chinese
1450,italian
1451,spanish
1452,southern_us
1453,korean
1454,greek
1455,italian
1456,french
1457,chinese
1458,vietnamese
1459,indian
1460,italian
1461,italian
1462,french
1463,indian
1464,french
1465,cajun_creole
1466,chinese
1467,thai
1468,italian
1469,thai
1470,chinese
1471,mexican
1472,mexican
1473,italian
1474,mexican
1475,chinese
1476,greek
1477,thai
1478,southern_us
1479,vietnamese
1480,chinese
1481,southern_us
1482,italian
1483,brazilian
1484,italian
1485,french
1486,southern_us
1487,italian
1488,mexican
1489,italian
1490,italian
1491,mexican
1492,italian
1493,italian
1494,brazilian
1495,indian
1496,italian
1497,jamaican
1498,jamaican
1499,italian
1500,russian
1501,thai
1502,italian
1503,chinese
1504,mexican
1505,british
1506,japanese
1507,southern_us
1508,indian
1509,thai
1510,cajun_creole
1511,greek
1512,mexican
1513,greek
1514,spanish
1515,cajun_creole
1516,mexican
1517,chinese
1518,korean
1519,french
1520,french
1521,italian
1522,jamaican
1523,italian
1524,thai
1525,mexican
1526,chinese
1527,mexican
1528,indian
1529,indian
1530,italian
1531,vietnamese
1532,chinese
1533,indian
1534,indian
1535,spanish
1536,greek
1537,italian
1538,italian
1539,mexican
1540,italian
1541,moroccan
1542,italian
1543,vietnamese
1544,mexican
1545,mexican
1546,chinese
1547,southern_us
1548,southern_us
1549,mexican
1550,vietnamese
1551,indian
1552,korean
1553,french
1554,mexican
1555,jamaican
1556,italian
1557,mexican
1558,spanish
1559,mexican
1560,cajun_creole
1561,greek
1562,italian
1563,italian
1564,italian
1565,southern_us
1566,thai
1567,chinese
1568,moroccan
1569,russian
1570,spanish
1571,french
1572,mexican
1573,chinese
1574,vietnamese
1575,japanese
1576,korean
1577,mexican
1578,russian
1579,russian
1580,italian
1581,southern_us
1582,russian
1583,vietnamese
1584,french
1585,italian
1586,italian
1587,french
1588,french
1589,italian
1590,mexican
1591,french
1592,italian
1593,mexican
1594,chinese
1595,french
1596,italian
1597,vietnamese
1598,southern_us
1599,french
1600,mexican
1601,indian
1602,moroccan
1603,indian
1604,mexican
1605,southern_us
1606,italian
1607,chinese
1608,mexican
1609,southern_us
1610,french
1611,japanese
1612,indian
1613,indian
1614,moroccan
1615,cajun_creole
1616,indian
1617,moroccan
1618,cajun_creole
1619,mexican
1620,southern_us
1621,italian
1622,southern_us
1623,mexican
1624,thai
1625,southern_us
1626,indian
1627,italian
1628,irish
1629,korean
1630,russian
1631,indian
1632,chinese
1633,southern_us
1634,indian
1635,russian
1636,italian
1637,moroccan
1638,indian
1639,french
1640,filipino
1641,moroccan
1642,chinese
1643,french
1644,cajun_creole
1645,vietnamese
1646,cajun_creole
1647,mexican
1648,cajun_creole
1649,indian
1650,mexican
1651,thai
1652,southern_us
1653,japanese
1654,british
1655,chinese
1656,italian
1657,greek
1658,indian
1659,french
1660,italian
1661,southern_us
1662,spanish
1663,french
1664,jamaican
1665,indian
1666,italian
1667,indian
1668,filipino
1669,chinese
1670,moroccan
1671,southern_us
1672,french
1673,indian
1674,mexican
1675,southern_us
1676,french
1677,indian
1678,irish
1679,indian
1680,southern_us
1681,japanese
1682,mexican
1683,mexican
1684,thai
1685,mexican
1686,mexican
1687,indian
1688,mexican
1689,indian
1690,greek
1691,italian
1692,chinese
1693,italian
1694,italian
1695,brazilian
1696,greek
1697,italian
1698,chinese
1699,jamaican
1700,italian
1701,greek
1702,mexican
1703,southern_us
1704,mexican
1705,mexican
1706,french
1707,french
1708,indian
1709,cajun_creole
1710,italian
1711,mexican
1712,jamaican
1713,filipino
1714,indian
1715,indian
1716,chinese
1717,mexican
1718,cajun_creole
1719,mexican
1720,italian
1721,mexican
1722,indian
1723,italian
1724,southern_us
1725,mexican
1726,indian
1727,italian
1728,mexican
1729,mexican
1730,southern_us
1731,southern_us
1732,thai
1733,japanese
1734,italian
1735,mexican
1736,chinese
1737,brazilian
1738,mexican
1739,southern_us
1740,korean
1741,southern_us
1742,indian
1743,french
1744,indian
1745,moroccan
1746,italian
1747,italian
1748,brazilian
1749,russian
1750,italian
1751,spanish
1752,korean
1753,chinese
1754,korean
1755,british
1756,southern_us
1757,chinese
1758,mexican
1759,greek
1760,mexican
1761,japanese
1762,japanese
1763,italian
1764,cajun_creole
1765,mexican
1766,cajun_creole
1767,chinese
1768,greek
1769,moroccan
1770,indian
1771,indian
1772,italian
1773,vietnamese
1774,russian
1775,cajun_creole
1776,thai
1777,italian
1778,southern_us
1779,mexican
1780,chinese
1781,southern_us
1782,italian
1783,chinese
1784,chinese
1785,cajun_creole
1786,italian
1787,moroccan
1788,southern_us
1789,greek
1790,italian
1791,mexican
1792,irish
1793,french
1794,mexican
1795,vietnamese
1796,cajun_creole
1797,french
1798,thai
1799,southern_us
1800,southern_us
1801,cajun_creole
1802,spanish
1803,russian
1804,chinese
1805,italian
1806,mexican
1807,italian
1808,italian
1809,french
1810,french
1811,indian
1812,irish
1813,moroccan
1814,french
1815,southern_us
1816,irish
1817,moroccan
1818,indian
1819,chinese
1820,mexican
1821,french
1822,italian
1823,southern_us
1824,thai
1825,southern_us
1826,italian
1827,southern_us
1828,british
1829,southern_us
1830,mexican
1831,vietnamese
1832,brazilian
1833,italian
1834,italian
1835,italian
1836,russian
1837,mexican
1838,japanese
1839,italian
1840,mexican
1841,chinese
1842,mexican
1843,greek
1844,mexican
1845,korean
1846,russian
1847,chinese
1848,indian
1849,cajun_creole
1850,southern_us
1851,italian
1852,italian
1853,filipino
1854,chinese
1855,southern_us
1856,italian
1857,italian
1858,thai
1859,japanese
1860,italian
1861,french
1862,chinese
1863,mexican
1864,italian
1865,japanese
1866,greek
1867,italian
1868,mexican
1869,italian
1870,greek
1871,jamaican
1872,mexican
1873,cajun_creole
1874,british
1875,french
1876,italian
1877,mexican
1878,italian
1879,russian
1880,southern_us
1881,southern_us
1882,thai
1883,mexican
1884,thai
1885,brazilian
1886,southern_us
1887,moroccan
1888,southern_us
1889,southern_us
1890,mexican
1891,mexican
1892,mexican
1893,thai
1894,italian
1895,indian
1896,italian
1897,mexican
1898,thai
1899,indian
1900,chinese
1901,italian
1902,italian
1903,greek
1904,greek
1905,mexican
1906,spanish
1907,chinese
1908,mexican
1909,jamaican
1910,southern_us
1911,mexican
1912,italian
1913,french
1914,mexican
1915,mexican
1916,indian
1917,filipino
1918,mexican
1919,korean
1920,mexican
1921,spanish
1922,cajun_creole
1923,chinese
1924,thai
1925,cajun_creole
1926,japanese
1927,southern_us
1928,mexican
1929,italian
1930,french
1931,cajun_creole
1932,cajun_creole
1933,british
1934,italian
1935,mexican
1936,italian
1937,thai
1938,japanese
1939,british
1940,mexican
1941,mexican
1942,chinese
1943,irish
1944,chinese
1945,cajun_creole
1946,french
1947,mexican
1948,indian
1949,thai
1950,indian
1951,italian
1952,japanese
1953,chinese
1954,indian
1955,italian
1956,french
1957,french
1958,italian
1959,greek
1960,italian
1961,mexican
1962,italian
1963,italian
1964,french
1965,indian
1966,southern_us
1967,southern_us
1968,british
1969,italian
1970,southern_us
1971,irish
1972,british
1973,thai
1974,italian
1975,indian
1976,cajun_creole
1977,chinese
1978,chinese
1979,italian
1980,jamaican
1981,vietnamese
1982,mexican
1983,british
1984,southern_us
1985,mexican
1986,mexican
1987,british
1988,japanese
1989,mexican
1990,indian
1991,chinese
1992,cajun_creole
1993,japanese
1994,japanese
1995,japanese
1996,vietnamese
1997,thai
1998,british
1999,korean
2000,italian
2001,southern_us
2002,greek
2003,chinese
2004,filipino
2005,filipino
2006,indian
2007,mexican
2008,spanish
2009,french
2010,greek
2011,mexican
2012,greek
2013,moroccan
2014,indian
2015,chinese
2016,cajun_creole
2017,italian
2018,southern_us
2019,moroccan
2020,mexican
2021,korean
2022,korean
2023,chinese
2024,southern_us
2025,chinese
2026,french
2027,french
2028,russian
2029,italian
2030,southern_us
2031,russian
2032,thai
2033,mexican
2034,italian
2035,chinese
2036,italian
2037,southern_us
2038,korean
2039,thai
2040,japanese
2041,mexican
2042,spanish
2043,mexican
2044,cajun_creole
2045,british
2046,vietnamese
2047,greek
2048,italian
2049,mexican
2050,southern_us
2051,filipino
2052,mexican
2053,spanish
2054,japanese
2055,moroccan
2056,cajun_creole
2057,british
2058,indian
2059,mexican
2060,italian
2061,moroccan
2062,french
2063,irish
2064,japanese
2065,korean
2066,chinese
2067,vietnamese
2068,chinese
2069,chinese
2070,french
2071,japanese
2072,chinese
2073,greek
2074,italian
2075,mexican
2076,indian
2077,mexican
2078,italian
2079,cajun_creole
2080,indian
2081,spanish
2082,moroccan
2083,italian
2084,spanish
2085,brazilian
2086,italian
2087,mexican
2088,italian
2089,french
2090,italian
2091,french
2092,italian
2093,japanese
2094,italian
2095,cajun_creole
2096,mexican
2097,italian
2098,vietnamese
2099,southern_us
2100,vietnamese
2101,brazilian
2102,greek
2103,italian
2104,italian
2105,mexican
2106,thai
2107,italian
2108,greek
2109,chinese
2110,british
2111,irish
2112,mexican
2113,mexican
2114,mexican
2115,cajun_creole
2116,italian
2117,italian
2118,cajun_creole
2119,mexican
2120,cajun_creole
2121,mexican
2122,mexican
2123,italian
2124,mexican
2125,italian
2126,thai
2127,italian
2128,indian
2129,chinese
2130,moroccan
2131,italian
2132,jamaican
2133,chinese
2134,cajun_creole
2135,french
2136,chinese
2137,cajun_creole
2138,moroccan
2139,thai
2140,mexican
2141,greek
2142,indian
2143,italian
2144,thai
2145,japanese
2146,southern_us
2147,mexican
2148,italian
2149,indian
2150,italian
2151,mexican
2152,mexican
2153,italian
2154,italian
2155,chinese
2156,italian
2157,indian
2158,russian
2159,cajun_creole
2160,indian
2161,italian
2162,italian
2163,italian
2164,chinese
2165,indian
2166,italian
2167,mexican
2168,mexican
2169,indian
2170,spanish
2171,moroccan
2172,mexican
2173,italian
2174,indian
2175,mexican
2176,italian
2177,mexican
2178,mexican
2179,indian
2180,mexican
2181,french
2182,mexican
2183,southern_us
2184,mexican
2185,thai
2186,italian
2187,greek
2188,moroccan
2189,mexican
2190,italian
2191,indian
2192,cajun_creole
2193,italian
2194,southern_us
2195,italian
2196,mexican
2197,korean
2198,southern_us
2199,mexican
2200,jamaican
2201,chinese
2202,french
2203,cajun_creole
2204,southern_us
2205,mexican
2206,mexican
2207,italian
2208,italian
2209,southern_us
2210,indian
2211,cajun_creole
